"asset_id","relative_path","status","duration_seconds","codec","sample_rate_hz","channels","peak_db","extension_ok","duration_ok","sample_rate_ok","channels_ok","peak_headroom_ok","decode_ok"
"sfx_ambience_dawn_rooster","assets/audio/ambience/local_emitters/sfx_ambience_dawn_rooster_v01.wav","pass","4.855","pcm_s16le","48000","1","-13.7","true","true","true","true","true","true"
"sfx_ambience_day_bird_01","assets/audio/ambience/local_emitters/sfx_ambience_day_bird_01_v01.wav","pass","37.208","pcm_s16le","48000","1","-4.7","true","true","true","true","true","true"
"sfx_ambience_day_bird_02","assets/audio/ambience/local_emitters/sfx_ambience_day_bird_02_v01.wav","pass","58.500","pcm_s16le","48000","1","-3.1","true","true","true","true","true","true"
"sfx_ambience_day_bird_03","assets/audio/ambience/local_emitters/sfx_ambience_day_bird_03_v01.wav","pass","33.523","pcm_s16le","48000","1","-5.6","true","true","true","true","true","true"
"sfx_ambience_night_insects_local_loop_01","assets/audio/ambience/local_emitters/sfx_ambience_night_insects_local_loop_01_v01.ogg","pass","9.767","vorbis","48000","1","-13.8","true","true","true","true","true","true"
"sfx_ambience_night_insects_local_loop_02","assets/audio/ambience/local_emitters/sfx_ambience_night_insects_local_loop_02_v01.ogg","pass","33.607","vorbis","48000","1","-8.3","true","true","true","true","true","true"
"sfx_ambience_night_insects_local_loop_03","assets/audio/ambience/local_emitters/sfx_ambience_night_insects_local_loop_03_v01.ogg","pass","8.000","vorbis","48000","1","-14.4","true","true","true","true","true","true"
"sfx_ambience_night_owl","assets/audio/ambience/local_emitters/sfx_ambience_night_owl_v01.wav","pass","3.997","pcm_s16le","48000","1","-11.0","true","true","true","true","true","true"
"sfx_ambience_river_local_loop","assets/audio/ambience/local_emitters/sfx_ambience_river_local_loop_v01.ogg","pass","63.986","vorbis","48000","1","-9.9","true","true","true","true","true","true"
"sfx_ambience_active_fire_loop","assets/audio/ambience/local_emitters/sfx_ambience_active_fire_loop_v01.ogg","pass","60.836","vorbis","48000","1","-2.2","true","true","true","true","true","true"
"sfx_world_battle_alert_one_shot","assets/audio/world/bell/sfx_world_battle_alert_one_shot_v01.wav","pass","4.838","pcm_s16le","48000","1","-12.4","true","true","true","true","true","true"
"sfx_foley_run_unified_loop","assets/audio/foley/footsteps/sfx_foley_run_unified_loop_v01.ogg","pass","16.001","vorbis","48000","1","-1.9","true","true","true","true","true","true"
"voice_combat_friendly_male_hurt_voice","assets/audio/voice/combat_grunts/voice_combat_friendly_male_hurt_voice_v01.wav","pass","0.444","pcm_s16le","48000","1","-5.6","true","true","true","true","true","true"
"voice_combat_enemy_hurt_voice","assets/audio/voice/combat_grunts/voice_combat_enemy_hurt_voice_v01.wav","pass","0.522","pcm_s16le","48000","1","-5.5","true","true","true","true","true","true"
"sfx_combat_hit_contact_01","assets/audio/combat/impacts/sfx_combat_hit_contact_01_v01.wav","pass","0.761","pcm_s16le","48000","1","-4.7","true","true","true","true","true","true"
"sfx_combat_hit_contact_02","assets/audio/combat/impacts/sfx_combat_hit_contact_02_v01.wav","pass","0.841","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_combat_hit_contact_03","assets/audio/combat/impacts/sfx_combat_hit_contact_03_v01.wav","pass","1.000","pcm_s16le","48000","1","-2.1","true","true","true","true","true","true"
"sfx_combat_arrow_and_hand_crossbow_bolt_whoosh","assets/audio/combat/projectiles/sfx_combat_arrow_and_hand_crossbow_bolt_whoosh_v01.wav","pass","0.813","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_combat_wood_damage_01","assets/audio/combat/structures/sfx_combat_wood_damage_01_v01.wav","pass","0.340","pcm_s16le","48000","1","-2.0","true","true","true","true","true","true"
"sfx_combat_wood_damage_02","assets/audio/combat/structures/sfx_combat_wood_damage_02_v01.wav","pass","0.522","pcm_s16le","48000","1","-9.4","true","true","true","true","true","true"
